JAPANESE_ja_Hani_x_joyo
========================

Characters include in the JAPANESE_ja_Hani_x_joyo ja_Hani_x_joyo set
=====================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
007dd1..007dd2   緑 緒
007dda           線
007de0           締
007de8..007de9   編 緩
007def           緯
007df4           練
007dfb           緻
007e01           縁
007e04           縄
007e1b           縛
007e26           縦
007e2b           縫
007e2e           縮
007e3e           績
007e41           繁
007e4a           繊
007e54..007e55   織 繕
007e6d           繭
007e70           繰
007f36           缶
007f6a           罪
007f6e           置
007f70           罰
007f72           署
007f75           罵
007f77           罷
007f85           羅
007f8a           羊
007f8e           美
007f9e           羞
007fa4           群
007fa8..007fa9   羨 義
007fbd           羽
007fc1           翁
007fcc           翌
007fd2           習
007ffb..007ffc   翻 翼
008001           老
008003           考
008005           者
008010           耐
008015           耕
008017           耗
008033           耳
008056           聖
00805e           聞
008074           聴
008077           職
008089           肉
00808c           肌
008096           肖
008098           肘
00809d           肝
0080a1..0080a2   股 肢
0080a5           肥
0080a9..0080aa   肩 肪
0080af           肯
0080b2           育
0080ba           肺
0080c3           胃
0080c6           胆
0080cc           背
0080ce           胎
0080de           胞
0080f4           胴
0080f8           胸
0080fd           能
008102           脂
008105           脅
008107..008108   脇 脈
00810a           脊
00811a           脚
008131           脱
008133           脳
00814e           腎
008150           腐
008155           腕
00816b           腫
008170           腰
008178..00817a   腸 腹 腺
00819a           膚
00819c..00819d   膜 膝
0081a8           膨
0081b3           膳
0081c6           臆
0081d3           臓
0081e3           臣
0081e8           臨
0081ea           自
0081ed           臭
0081f3..0081f4   至 致
0081fc           臼
008208           興
00820c           舌
00820e           舎
008217           舗
00821e..00821f   舞 舟
00822a           航
00822c           般
008236..008237   舶 舷
008239           船
008247           艇
008266           艦
00826f           良
008272           色
008276           艶
00828b           芋
00829d           芝
0082af           芯
0082b1           花
0082b3           芳
0082b8           芸
0082bd           芽
0082d7           苗
0082db           苛
0082e5..0082e6   若 苦
0082f1           英
008302           茂
00830e           茎
008328           茨
008336           茶
008349           草
008352           荒
008358           荘
008377           荷
0083ca           菊
0083cc           菌
0083d3           菓
0083dc           菜
0083ef           華
00840e           萎
00843d           落
008449           葉
008457           著
00845b           葛
00846c           葬
0084b8           蒸
0084c4           蓄
0084cb           蓋
008511           蔑
008535           蔵
00853d           蔽
008584           薄
0085a6           薦
0085aa..0085ac   薪 薫 薬
0085cd           藍
0085e4           藤
0085e9           藩
0085fb           藻
00864e           虎
008650           虐
00865a           虚
00865c           虜
00865e           虞
00866b           虫
008679           虹
00868a           蚊
008695           蚕
0086c7           蛇
0086cd           蛍
0086ee           蛮
008702           蜂
00871c           蜜
00878d           融
008840           血
008846           衆
00884c           行
008853           術
008857           街
00885b           衛
00885d           衝
008861           衡
008863           衣
008868           表
008870           衰
008877           衷
00888b           袋
008896           袖
0088ab           被
0088c1..0088c2   裁 裂
0088c5           装
0088cf           裏
0088d5           裕
0088dc           補
0088f8           裸
0088fd..0088fe   製 裾
008907           複
008910           褐
008912           褒
00895f           襟
008972           襲
00897f           西
008981           要
008986..008987   覆 覇
00898b           見
00898f           規
008996           視
00899a           覚
0089a7           覧
0089aa           親
0089b3           観
0089d2           角
0089e3           解
0089e6           触
008a00           言
008a02..008a03   訂 訃
008a08           計
008a0e           討
008a13           訓
008a17..008a18   託 記
008a1f           訟
008a2a           訪
008a2d           設
008a31           許
008a33..008a34   訳 訴
008a3a           診
008a3c           証
008a50           詐
008a54..008a55   詔 評
008a5e           詞
008a60           詠
008a63           詣
008a66           試
008a69           詩
008a6e           詮
008a70..008a73   詰 話 該 詳
008a87           誇
008a89           誉
008a8c..008a8d   誌 認
008a93           誓
008a95           誕
008a98           誘
008a9e           語
008aa0           誠
008aa4           誤
008aac..008aad   説 読
008ab0           誰
008ab2           課
008abf           調
008ac7           談
008acb           請
008ad6           論
008ae6..008ae7   諦 諧
008aed..008aee   諭 諮
008af8           諸
008afe           諾
008b00..008b01   謀 謁
008b04           謄
008b0e           謎
008b19           謙
008b1b           講
008b1d           謝
008b21           謡
008b39           謹
008b58           識
008b5c           譜
008b66           警
008b70           議
008b72           譲
008b77           護
008c37           谷
008c46           豆
008c4a           豊
008c5a           豚
008c61           象
008c6a           豪
008c8c           貌
008c9d..008c9e   貝 貞
008ca0..008ca2   負 財 貢
008ca7..008cac   貧 貨 販 貪 貫 責
008caf           貯
008cb4           貴
008cb7..008cb8   買 貸
008cbb..008cbc   費 貼
008cbf..008cc0   貿 賀
008cc2..008cc4   賂 賃 賄
008cc7           資
008cca           賊
008cd3           賓
008cdb..008cdc   賛 賜
008cde           賞
008ce0           賠
008ce2           賢
008ce6           賦
008cea           質
008ced           賭
008cfc           購
008d08           贈
008d64           赤
008d66           赦
008d70           走
008d74           赴
008d77           起
008d85           超
008d8a           越
008da3           趣
008db3           足
008ddd           距
008de1           跡
008def           路
008df3           跳
008df5           践
008e0a           踊
008e0f           踏
008e2a           踪
008e74           蹴
008e8d           躍
008eab           身
008eca           車
008ecc..008ecd   軌 軍
008ed2           軒
008edf           軟
008ee2           転
008ef8           軸
008efd           軽
008f03           較
008f09           載
008f1d           輝
008f29..008f2a   輩 輪
008f38           輸
008f44           轄
008f9b           辛
008f9e           辞
008fa3           辣
008fb1..008fb2   辱 農
008fba           辺
008fbc           込
008fc5           迅
008fce           迎
008fd1           近
008fd4           返
008feb           迫
008fed           迭
008ff0           述
008ff7           迷
008ffd           追
009000..009001   退 送
009003           逃
009006           逆
00900f..009010   透 逐
009013..009014   逓 途
00901a           通
00901d           逝
00901f..009020   速 造
009023           連
00902e           逮
009031..009032   週 進
009038           逸
009042           遂
009045           遅
009047           遇
00904a..00904b   遊 運
00904d..00904e   遍 過
009053..009055   道 達 違
00905c           遜
009060..009061   遠 遡
009063           遣
009069           適
00906d..00906e   遭 遮
009075           遵
009077..009078   遷 選
00907a           遺
00907f           避
009084           還
0090a3           那
0090a6           邦
0090aa           邪
0090b8           邸
0090ca           郊
0090ce           郎
0090e1           郡
0090e8           部
0090ed           郭
0090f5           郵
0090f7           郷
0090fd           都
00914c..00914e   酌 配 酎
009152           酒
009154           酔
009162           酢
00916a           酪
00916c           酬
009175           酵
009177..009178   酷 酸
009192           醒
00919c           醜
0091b8           醸
0091c7..0091c8   采 釈
0091cc..0091cf   里 重 野 量
0091d1           金
0091dc..0091dd   釜 針
0091e3           釣
00920d           鈍
009234           鈴
009244           鉄
00925b           鉛
009262           鉢
009271           鉱
009280           銀
009283           銃
009285           銅
009298           銘
0092ad           銭
0092ed           鋭
0092f3           鋳
0092fc           鋼
009320           錠
009326           錦
00932c           錬
00932e..00932f   錮 錯
009332           録
00934b           鍋
00935b           鍛
009375           鍵
00938c           鎌
009396           鎖
0093ae           鎮
0093e1           鏡
009418           鐘
009451           鑑
009577           長
009580           門
009589           閉
00958b           開
009591           閑
009593           間
0095a2..0095a3   関 閣
0095a5           閥
0095b2           閲
0095c7           闇
0095d8           闘
00961c           阜
00962a           阪
009632           防
00963b           阻
009644           附
00964d           降
009650           限
00965b           陛
009662..009665   院 陣 除 陥
00966a           陪
009670           陰
009673           陳
009675..009676   陵 陶
009678           陸
00967a           険
00967d           陽
009685..009686   隅 隆
00968a           隊
00968e..00968f   階 随
009694           隔
009699           隙
00969b..00969c   際 障
0096a0           隠
0096a3           隣
0096b7           隷
0096bb           隻
0096c4..0096c7   雄 雅 集 雇
0096cc           雌
0096d1           雑
0096e2..0096e3   離 難
0096e8           雨
0096ea           雪
0096f0           雰
0096f2           雲
0096f6..0096f7   零 雷
0096fb           電
009700           需
009707           震
00970a           霊
00971c           霜
009727           霧
009732           露
009752           青
009759           静
00975e           非
009762           面
009769           革
009774           靴
0097d3           韓
0097f3           音
0097fb           韻
0097ff           響
009802..009803   頂 頃
